Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
round4,6d5d6431-5f30-4a56-8c66-a3ee43a2ffe8,174972,181847,Dely 6,2,,5,,4,,6,,3,,3,,,It is what it is,,,,,,1,1,4,6,1,4,,
round4,71c3fb95-b4bb-4c56-8bf4-530e60aaef79,171224,180360,Sandro 4,2,8,,4,8,,,6,,,2,,,rosebud,4,,8,,6,,6,,5,,6,,
round4,7316d5b4-0e52-4f5d-8b0b-6ab4ffcfc0a4,175444,181694,Najem,2,,4,,3,,1,,3,,1,,,samie 03,8,,5,,8,,1,,4,,4,,
round4,73e450cf-e5c0-45d7-be0d-161ce1840683,176064,172347,Wagdaddy,,8,,5,,8,,8,,5,8,,,<Manchester CA>,5,3,2,4,6,,,,,,2,,
round4,76532d91-8c82-4767-998e-68394fbe9214,172997,171250,the top78 team ~ ethfinance'd,5,,4,,5,,6,,1,,1,,,FETT,,,4,,,3,8,,8,5,4,,
round4,7e8cb68d-fb96-47f5-a46a-3b49a35a8308,182278,182470,Lider,,7,,6,,7,,7,,7,7,,,Ogi m,6,7,7,7,7,,,,,,7,,
round4,7e8d0465-5b11-43fa-8e93-ccc06bb56443,173215,181460,Alpha Wave2,7,,3,,5,,7,,7,,7,,,CryptoGreen1,,6,,6,,4,,1,,1,6,,
round4,7fb522f3-24c7-4701-b57b-62d5fcbe70da,169592,180973,30kV ARC,,7,,4,,6,,7,,7,4,,,Portal Mages 9,5,,4,,2,,6,,8,,5,,
round4,80d9af9d-ceba-485f-a862-f4ca1c12346d,178142,178727,Peapods,,,,,,6,7,3,1,5,6,,,( ｡◕‿‿◕｡ ),,4,,5,,1,,6,,3,4,,
round4,811f1c9b-3d04-409d-a447-82bc02b7eb6c,181483,169625,ms,,2,,3,,5,,5,,3,3,,,am I doing it right,,6,,2,,7,,1,,5,6,,
round4,82193b10-72af-47a2-b8f4-8bb9d46c14b9,179504,173034,SparkleLy,5,7,,4,1,,,3,,,5,,,Woot,,3,,3,,3,,6,,3,3,,
round4,83cda5cd-1a19-443e-bb55-ade533fb0d3a,180228,181437,Witch Hunter,7,,2,,5,,3,,1,,2,,,madmax,8,,5,,8,,4,,1,,5,,
round4,88e3420a-06de-493b-90ae-6be76fc8ce68,169947,182119,troop 201,5,8,6,5,3,,,,,,5,,,What's that spell?,4,,7,,6,,7,,7,,7,,
round4,89545078-c1e5-4915-8cea-9ab6cdb20ed0,181264,171533,RUN13,1,1,1,5,6,,,,,,1,,,Power Rangers Alpha,,4,,4,,1,,5,,8,1,,
round4,89f319c4-e397-4a31-9837-04af27b5a4f2,171297,182432,Team-g,,,4,,,7,7,,7,7,7,,,Ogi c,,5,,8,,8,,1,,1,5,,
round4,8b1493b2-e7fd-438c-a281-f7149cfda1d0,171470,171310,ALOTTA,,4,,4,,1,,7,,1,1,,,GAMMA GOTCHI,,4,,8,,3,,6,,2,3,,
round4,8c58153a-b9b7-430e-af2e-8276f5922291,181112,171475,つ◕ل͜◕)つ,,4,,4,,7,,7,,7,7,,,GOTCHi GUARDiANS,,4,,6,,5,,8,,1,1,,
round4,929c4640-2e4c-4c68-ac61-aad15070b040,180219,181348,Stomp,,2,,8,,8,,8,,8,2,,,Buffalo DeGotchi 1,3,,3,,3,,6,,7,,6,,
round4,961fd34f-97f7-44c2-88a1-7046525238d2,171535,172080,Power Rangers Delta,,,4,,,2,8,,3,1,2,,,Silents team,,4,,1,,6,,5,,6,6,,
round4,96494084-9597-44fb-a5a8-057387bcea11,172194,171247,stamina,3,,4,,8,,7,,7,,4,,,Doxys Dimwits,5,,8,,3,,1,,1,,5,,
round4,965b0522-1ed5-4a8b-8d8e-f27673dcb6b6,180278,179461,AB10,1,,5,,5,,8,,5,,5,,,Alcoholics,5,,6,,7,,7,,3,,7,,
round4,99fc95c9-c5bc-4513-933b-2a7a0a2387d6,178100,171469,PUSKALS,,,,,,1,4,5,6,6,6,,,ANIMA,,2,,8,,1,,5,,6,2,,
round4,9b1bff1b-8ba3-4679-92bc-3e43ea2ca071,169613,177426,Dice,,3,,7,,7,,6,,7,7,,,bunbogionac,,6,,6,,7,,7,,7,6,,
round4,9b333bc1-600c-4348-b88f-3fe429af3db5,175813,169949,Trollololo,,8,,4,,8,,8,,8,8,,,Crusherz 1,3,4,,7,1,,,6,,,6,,
round4,9dcec549-7896-46c9-8a5a-9116c10eb9ed,172811,180955,22222222222222222,4,8,5,6,3,,,,,,4,,,Portal Mages 8,3,,6,,2,,3,,6,,6,,
round4,9f0c0882-b312-4a2b-9b82-6efd68c6cbe7,181143,174071,Portal Mages 15,1,,1,,1,,3,,3,,3,,,BRS,1,1,,1,1,,,4,,,4,,
round4,a3420c73-a8f0-44d4-a877-74133d7efd3c,182277,181613,Majasos,,1,,5,,7,,7,,7,7,,,samie 02,2,,2,,2,,6,,1,,1,,
round4,a4c34771-91ba-4cd7-9d7f-d5f7a68d4efd,181397,172990,Buffalo DeGotchi 4,3,,6,,4,,2,,5,,6,,,[HCF] witchybishys,7,,7,,3,,6,,4,,6,,
round4,a4d44e1d-0204-4387-a354-fdb48158a637,172616,181243,Team DAIddy Kong,2,,4,,6,,1,,8,,2,,,Portal Mages 20,1,,6,,2,,1,,3,,6,,
round4,a86f4b73-6895-41df-b04c-d7d1f6b70a1e,172309,171710,quark axe,,3,,3,,3,,3,,3,3,,,yoloooo,,,4,,,8,3,,3,5,4,,
round4,b20ccc2a-5abf-4c09-96d2-54037bb77266,182120,170090,poor0,,,4,,,7,7,,7,6,7,,,LightEm'Up,,2,,2,,7,,7,,7,2,,
